"Rank","Team","Score","Elo","True Margin","Wins","Losses"
96,"Bethune-Cookman",4.84,2200,-4.67,1,1
97,"Villanova",4.84,2186,2.56,0,1
98,"SMU",4.83,2188,1.42,4,5
99,"Florida Atlantic",4.81,2182,4.21,4,6
100,"Jacksonville State",4.81,2212,-12.57,1,0
101,"Memphis",4.81,2171,10.21,3,6
102,"West Virginia",4.79,2165,12.89,4,7
103,"UNLV",4.79,2198,-5.7,5,5
104,"Montana State",4.74,2186,-0.39,0,1
105,"William & Mary",4.74,2186,-0.74,0,1
106,"Southern Illinois",4.68,2186,-2.83,0,1
107,"Louisiana-Monroe",4.67,2201,-11.08,5,5
108,"Samford",4.65,2200,-11.32,1,1
109,"Colorado",4.64,2178,0.68,4,6
110,"Illinois",4.56,2153,11.78,3,7
111,"Furman",4.52,2188,-9.01,0,1
112,"North Carolina State",4.45,2149,10.44,3,7
113,"Troy",4.42,2185,-10.36,5,6
114,"South Carolina State",4.41,2187,-11.8,0,1
115,"James Madison",4.4,2186,-11.67,0,1
116,"Portland State",4.39,2186,-12.01,0,1
117,"Sam Houston State",4.37,2187,-13.12,0,1
118,"Nevada",4.37,2167,-2.26,4,7
119,"Southeastern Louisiana",4.35,2186,-13.36,0,1
120,"Southern Utah",4.34,2200,-21.21,1,1
121,"Arkansas",4.3,2155,2.54,3,7
122,"Kansas",4.23,2160,-3.08,3,7
123,"Wyoming",4.22,2174,-10.78,4,6
124,"Eastern Kentucky",4.22,2186,-18.01,0,1
125,"Cal Poly",4.21,2173,-10.61,0,2
126,"Central Arkansas",4.21,2186,-18.31,0,1
127,"Kentucky",4.2,2138,8.31,2,8
128,"Liberty",4.18,2186,-19.12,0,1
129,"South Alabama",4.18,2160,-4.67,3,6
130,"Old Dominion",4.18,2174,-12.32,1,3
131,"Tennessee Tech",4.16,2187,-19.98,0,1
132,"Illinois State",4.16,2186,-19.87,0,1
133,"Northern Arizona",4.11,2186,-21.41,0,1
134,"New Hampshire",4.11,2186,-21.13,0,1
135,"Akron",4.1,2171,-13.41,4,7
136,"Appalachian State",4.06,2188,-23.64,0,1
137,"Youngstown State",4.05,2188,-24.15,0,1
138,"South Dakota",4.01,2186,-24.86,0,1
139,"Wofford",4,2186,-24.95,0,1
140,"Presbyterian",3.94,2186,-27.07,0,1
141,"Virginia",3.9,2132,1.85,2,8
142,"Central Michigan",3.89,2181,-25.52,4,6
143,"South Florida",3.84,2145,-7.36,2,7
144,"Louisiana Tech",3.78,2174,-25.24,4,6
145,"New Mexico",3.74,2149,-12.81,3,7
146,"Abilene Christian",3.7,2183,-33.12,0,1
147,"South Dakota State",3.68,2187,-35.69,0,1
148,"Army",3.65,2145,-13.24,3,7
149,"Jackson State",3.64,2186,-36.81,0,1
150,"N.C. Central",3.64,2186,-36.81,0,1
151,"Alcorn St.",3.62,2186,-37.2,0,1
152,"Western Illinois",3.56,2174,-32.51,0,2
153,"Kent State",3.56,2141,-14.53,3,8
154,"Murray State",3.53,2174,-33.57,0,2
155,"UC Davis",3.52,2186,-40.39,0,1
156,"Indiana State",3.51,2173,-33.66,0,2
157,"Alabama St.",3.51,2184,-40.01,0,1
158,"Southern University",3.51,2186,-41.34,0,1
159,"Iowa State",3.5,2112,-0.21,1,9
160,"Prairie View A&M",3.49,2187,-42.28,0,1
161,"Tennessee-Martin",3.48,2171,-33.31,0,2
162,"Howard",3.47,2186,-42.5,0,1
163,"Stephen F. Austin",3.47,2187,-42.87,0,1
164,"Charleston So.",3.42,2186,-43.78,0,1
165,"Temple",3.42,2113,-2.98,1,9
166,"Northern Colorado",3.4,2186,-44.76,0,1
167,"Tulsa",3.39,2131,-14.04,2,8
168,"Sacramento State",3.38,2174,-38.12,0,2
169,"Delaware",3.35,2187,-46.71,0,1
170,"Colgate",3.35,2186,-46.49,0,1
171,"Idaho State",3.32,2176,-41.68,0,2
172,"California",3.24,2103,-3.91,1,10
173,"Air Force",3.21,2130,-19.36,2,8
174,"Lamar",3.21,2174,-44.12,0,2
175,"Norfolk State",3.2,2186,-51.04,0,1
176,"Nicholls State",3.11,2185,-53.56,1,2
177,"Florida A&M",3.05,2188,-57.02,0,1
178,"Western Carolina",3.03,2162,-43.41,0,3
179,"Gardner-Webb",3.02,2187,-57.57,0,1
180,"Morgan State",3,2173,-50.36,0,2
181,"Grambling",2.98,2186,-58.37,0,1
182,"Purdue",2.91,2114,-20.75,1,9
183,"UTEP",2.86,2129,-30.49,2,8
184,"Arkansas-Pine Bluff",2.8,2186,-64.33,0,1
185,"Virginia Military",2.8,2186,-64.45,0,1
186,"UAB",2.79,2129,-32.62,2,8
187,"Wagner",2.78,2185,-64.57,0,1
188,"Elon",2.77,2186,-65.45,0,1
189,"Connecticut",2.75,2100,-18.04,0,9
190,"Hawai'i",2.74,2086,-10.59,0,10
191,"Austin Peay",2.65,2161,-55.42,0,3
192,"Massachusetts",2.64,2107,-25.35,1,9
193,"Eastern Michigan",2.54,2133,-43.4,2,8
194,"Weber State",2.38,2174,-71.36,0,2
195,"Northwestern State",2.37,2173,-70.76,0,2
196,"New Mexico State",2.3,2112,-39.41,1,9
197,"Idaho",2.2,2109,-40.95,1,9
198,"Georgia State",2.18,2089,-30.75,0,10
199,"Western Michigan",2.18,2098,-35.52,1,10
200,"Florida International",1.72,2104,-54.05,1,9
201,"Miami (Ohio)",1.64,2080,-43.33,0,10
202,"Savannah State",1.61,2175,-97.26,0,2
203,"Southern Mississippi",1.37,2085,-55.09,0,10
